from_dbid,relation,to_dbid
DB01050,INTERACT,DB01133
DB01050,INTERACT,DB06255
DB01050,INTERACT,DB04865
DB01050,INTERACT,DB00864
DB01050,INTERACT,DB00384
DB01050,INTERACT,DB00421
DB01050,INTERACT,DB00594
DB01050,INTERACT,DB00626
DB01050,INTERACT,DB00267
DB01050,INTERACT,DB00274
DB01050,INTERACT,DB00369
DB01050,INTERACT,DB00430
DB01050,INTERACT,DB00438
DB01050,INTERACT,DB00447
DB01050,INTERACT,DB00456
DB01050,INTERACT,DB00493
DB01050,INTERACT,DB00681
DB01050,INTERACT,DB00689
DB01050,INTERACT,DB00718
DB01050,INTERACT,DB00738
DB01050,INTERACT,DB00923
DB01050,INTERACT,DB00958
DB01050,INTERACT,DB01140
DB01050,INTERACT,DB01330
DB01050,INTERACT,DB01333
DB01050,INTERACT,DB11367
DB01050,INTERACT,DB01066
DB01050,INTERACT,DB01111
DB01050,INTERACT,DB01112
DB01050,INTERACT,DB01139
DB01050,INTERACT,DB01150
DB01050,INTERACT,DB01326
DB01050,INTERACT,DB01328
DB01050,INTERACT,DB01331
DB01050,INTERACT,DB01413
DB01050,INTERACT,DB01416
DB01050,INTERACT,DB02247
DB01050,INTERACT,DB03450
DB01050,INTERACT,DB04570
DB01050,INTERACT,DB04918
DB01050,INTERACT,DB06590
DB01050,INTERACT,DB09062
DB01050,INTERACT,DB11935
DB01050,INTERACT,DB13266
DB01050,INTERACT,DB13461
DB01050,INTERACT,DB13470
DB01050,INTERACT,DB13499
DB01050,INTERACT,DB13504
DB01050,INTERACT,DB13638
DB01050,INTERACT,DB13667
DB01050,INTERACT,DB13682
DB01050,INTERACT,DB13778
DB01050,INTERACT,DB13821
DB01050,INTERACT,DB13868
DB01050,INTERACT,DB14713
DB01050,INTERACT,DB01438
DB01050,INTERACT,DB15066
DB01050,INTERACT,DB01212
DB01050,INTERACT,DB01329
DB01050,INTERACT,DB00452
DB01050,INTERACT,DB01421
DB01050,INTERACT,DB04263
DB01050,INTERACT,DB04626
DB01050,INTERACT,DB04808
DB01050,INTERACT,DB08437
DB01050,INTERACT,DB11512
DB01050,INTERACT,DB11520
DB01050,INTERACT,DB01356
DB01050,INTERACT,DB00656
DB01050,INTERACT,DB01175
DB01050,INTERACT,DB04884
DB01050,INTERACT,DB08953
DB01050,INTERACT,DB12693
DB01050,INTERACT,DB13233
DB01050,INTERACT,DB00215
DB01050,INTERACT,DB00476
DB01050,INTERACT,DB00715
DB01050,INTERACT,DB08918
DB01050,INTERACT,DB04832
DB01050,INTERACT,DB00176
DB01050,INTERACT,DB00472
DB01050,INTERACT,DB01105
DB01050,INTERACT,DB04896
DB01050,INTERACT,DB06700
DB01050,INTERACT,DB06731
DB01050,INTERACT,DB00418
DB01050,INTERACT,DB01045
DB01050,INTERACT,DB13223
DB01050,INTERACT,DB13491
DB01050,INTERACT,DB13856
DB01050,INTERACT,DB00588
DB01050,INTERACT,DB08906
DB01050,INTERACT,DB13867
DB01050,INTERACT,DB14512
DB01050,INTERACT,DB00591
DB01050,INTERACT,DB09091
DB01050,INTERACT,DB14539
DB01050,INTERACT,DB14545
DB01050,INTERACT,DB00180
DB01050,INTERACT,DB00620
DB01050,INTERACT,DB00687
DB01050,INTERACT,DB01108
DB01050,INTERACT,DB01285
DB01050,INTERACT,DB01380
DB01050,INTERACT,DB01384
DB01050,INTERACT,DB01410
DB01050,INTERACT,DB08970
DB01050,INTERACT,DB09378
DB01050,INTERACT,DB09383
DB01050,INTERACT,DB11487
DB01050,INTERACT,DB11529
DB01050,INTERACT,DB11921
DB01050,INTERACT,DB13003
DB01050,INTERACT,DB13208
DB01050,INTERACT,DB13843
DB01050,INTERACT,DB14541
DB01050,INTERACT,DB14631
DB01050,INTERACT,DB14633
DB01050,INTERACT,DB14644
DB01050,INTERACT,DB14646
DB01050,INTERACT,DB14652
DB01050,INTERACT,DB14659
DB01050,INTERACT,DB14669
DB01050,INTERACT,DB14681
DB01050,INTERACT,DB00741
DB01050,INTERACT,DB01234
DB01050,INTERACT,DB00635
DB01050,INTERACT,DB00394
DB01050,INTERACT,DB00443
DB01050,INTERACT,DB00860
DB01050,INTERACT,DB00959
DB01050,INTERACT,DB01222
DB01050,INTERACT,DB04630
DB01050,INTERACT,DB01013
DB01050,INTERACT,DB01047
DB01050,INTERACT,DB14540
DB01050,INTERACT,DB00547
DB01050,INTERACT,DB00764
DB01050,INTERACT,DB08971
DB01050,INTERACT,DB15566
DB01050,INTERACT,DB00324
DB01050,INTERACT,DB09095
DB01050,INTERACT,DB00663
DB01050,INTERACT,DB14643
DB01050,INTERACT,DB00407
DB01050,INTERACT,DB00568
DB01050,INTERACT,DB00653
DB01050,INTERACT,DB00825
DB01050,INTERACT,DB01074
DB01050,INTERACT,DB01109
DB01050,INTERACT,DB01219
DB01050,INTERACT,DB01225
DB01050,INTERACT,DB02968
DB01050,INTERACT,DB04825
DB01050,INTERACT,DB04838
DB01050,INTERACT,DB04841
DB01050,INTERACT,DB04842
DB01050,INTERACT,DB05246
DB01050,INTERACT,DB05885
DB01050,INTERACT,DB06152
DB01050,INTERACT,DB06271
DB01050,INTERACT,DB06446
DB01050,INTERACT,DB06754
DB01050,INTERACT,DB06779
DB01050,INTERACT,DB06822
DB01050,INTERACT,DB08813
DB01050,INTERACT,DB08838
DB01050,INTERACT,DB08980
DB01050,INTERACT,DB08992
DB01050,INTERACT,DB09090
DB01050,INTERACT,DB09229
DB01050,INTERACT,DB09230
DB01050,INTERACT,DB09232
DB01050,INTERACT,DB09234
DB01050,INTERACT,DB09240
DB01050,INTERACT,DB09258
DB01050,INTERACT,DB09259
DB01050,INTERACT,DB09260
DB01050,INTERACT,DB09261
DB01050,INTERACT,DB11960
DB01050,INTERACT,DB12097
DB01050,INTERACT,DB12131
DB01050,INTERACT,DB13488
DB01050,INTERACT,DB13500
DB01050,INTERACT,DB13725
DB01050,INTERACT,DB13766
DB01050,INTERACT,DB13791
DB01050,INTERACT,DB13835
DB01050,INTERACT,DB13950
DB01050,INTERACT,DB13961
DB01050,INTERACT,DB00202
DB01050,INTERACT,DB00593
DB01050,INTERACT,DB12923
DB01050,INTERACT,DB14063
DB01050,INTERACT,DB14064
DB01050,INTERACT,DB14065
DB01050,INTERACT,DB14066
DB01050,INTERACT,DB09449
DB01050,INTERACT,DB12364
DB01050,INTERACT,DB00700
DB01050,INTERACT,DB00091
DB01050,INTERACT,DB11051
DB01050,INTERACT,DB11642
DB01050,INTERACT,DB00586
DB01050,INTERACT,DB00712
DB01050,INTERACT,DB00963
DB01050,INTERACT,DB06802
DB01050,INTERACT,DB00328
DB01050,INTERACT,DB00461
DB01050,INTERACT,DB00469
DB01050,INTERACT,DB00482
DB01050,INTERACT,DB00500
DB01050,INTERACT,DB00533
DB01050,INTERACT,DB00554
DB01050,INTERACT,DB00573
DB01050,INTERACT,DB00580
DB01050,INTERACT,DB00605
DB01050,INTERACT,DB00749
DB01050,INTERACT,DB00784
DB01050,INTERACT,DB00788
DB01050,INTERACT,DB00795
DB01050,INTERACT,DB00812
DB01050,INTERACT,DB00814
DB01050,INTERACT,DB00821
DB01050,INTERACT,DB00861
DB01050,INTERACT,DB00870
DB01050,INTERACT,DB00936
DB01050,INTERACT,DB00939
DB01050,INTERACT,DB00991
DB01050,INTERACT,DB01009
DB01050,INTERACT,DB01014
DB01050,INTERACT,DB01250
DB01050,INTERACT,DB01283
DB01050,INTERACT,DB01397
DB01050,INTERACT,DB01399
DB01050,INTERACT,DB01401
DB01050,INTERACT,DB01435
DB01050,INTERACT,DB01600
DB01050,INTERACT,DB01628
DB01050,INTERACT,DB03585
DB01050,INTERACT,DB04552
DB01050,INTERACT,DB04812
DB01050,INTERACT,DB04817
DB01050,INTERACT,DB04828
DB01050,INTERACT,DB06725
DB01050,INTERACT,DB06736
DB01050,INTERACT,DB06737
DB01050,INTERACT,DB07402
DB01050,INTERACT,DB07477
DB01050,INTERACT,DB08439
DB01050,INTERACT,DB08797
DB01050,INTERACT,DB08940
DB01050,INTERACT,DB08942
DB01050,INTERACT,DB08951
DB01050,INTERACT,DB08955
DB01050,INTERACT,DB08976
DB01050,INTERACT,DB08981
DB01050,INTERACT,DB08984
DB01050,INTERACT,DB08991
DB01050,INTERACT,DB09212
DB01050,INTERACT,DB09215
DB01050,INTERACT,DB09216
DB01050,INTERACT,DB09218
DB01050,INTERACT,DB11466
DB01050,INTERACT,DB11518
DB01050,INTERACT,DB13001
DB01050,INTERACT,DB13167
DB01050,INTERACT,DB13217
DB01050,INTERACT,DB13232
DB01050,INTERACT,DB13286
DB01050,INTERACT,DB13314
DB01050,INTERACT,DB13346
DB01050,INTERACT,DB13364
DB01050,INTERACT,DB13371
DB01050,INTERACT,DB13407
DB01050,INTERACT,DB13432
DB01050,INTERACT,DB13481
DB01050,INTERACT,DB13501
DB01050,INTERACT,DB13514
DB01050,INTERACT,DB13524
DB01050,INTERACT,DB13527
DB01050,INTERACT,DB13538
DB01050,INTERACT,DB13544
DB01050,INTERACT,DB13612
DB01050,INTERACT,DB13629
DB01050,INTERACT,DB13649
DB01050,INTERACT,DB13657
DB01050,INTERACT,DB13722
DB01050,INTERACT,DB13783
DB01050,INTERACT,DB13860
DB01050,INTERACT,DB09084
DB01050,INTERACT,DB00159
DB01050,INTERACT,DB01419
DB01050,INTERACT,DB09213
DB01050,INTERACT,DB11079
DB01050,INTERACT,DB05095
DB01050,INTERACT,DB11455
DB01050,INTERACT,DB01424
DB01050,INTERACT,DB00244
DB01050,INTERACT,DB14059
DB01050,INTERACT,DB14060
DB01050,INTERACT,DB09217
DB01050,INTERACT,DB09285
DB01050,INTERACT,DB09295
DB01050,INTERACT,DB09214
DB01050,INTERACT,DB02224
DB01050,INTERACT,DB12480
DB01050,INTERACT,DB12610
DB01050,INTERACT,DB14938
DB01050,INTERACT,DB12399
DB01050,INTERACT,DB04725
DB01050,INTERACT,DB04743
DB01050,INTERACT,DB12445
DB01050,INTERACT,DB12545
DB01050,INTERACT,DB00182
DB01050,INTERACT,DB00289
DB01050,INTERACT,DB00292
DB01050,INTERACT,DB00633
DB01050,INTERACT,DB00698
DB01050,INTERACT,DB00780
DB01050,INTERACT,DB00841
DB01050,INTERACT,DB00871
DB01050,INTERACT,DB00953
DB01050,INTERACT,DB00988
DB01050,INTERACT,DB01001
DB01050,INTERACT,DB01274
DB01050,INTERACT,DB01367
DB01050,INTERACT,DB01577
DB01050,INTERACT,DB06262
DB01050,INTERACT,DB09082
